,period,year,month,total_rainfall,no_of_rainy_days,mean_temp,mean_sunshine_hrs,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,RSI(sales_value)
68,1990-09,1990,9,204.5,17,27.2,5.1,83.2,44.5,25.081111111111113,36.9
69,1990-10,1990,10,56.4,12,27.5,5.9,83.5,20.2,25.239381720430107,40.0
70,1990-11,1990,11,180.4,17,27.2,4.6,83.5,46.9,25.186527777777776,37.7
71,1990-12,1990,12,201.1,16,26.3,5.5,86.0,33.5,24.72271505376344,41.6
72,1991-01,1991,1,123.9,13,26.7,5.6,84.1,36.2,24.870564516129033,36.5
73,1991-02,1991,2,45.5,7,27.1,7.0,81.6,17.9,24.914285714285718,40.0
74,1991-03,1991,3,92.4,10,27.8,7.1,79.9,48.6,25.26021505376344,40.5
75,1991-04,1991,4,134.2,13,27.7,5.8,84.3,32.2,25.31597222222222,40.7
76,1991-05,1991,5,256.4,23,27.7,5.1,86.6,44.0,25.56706989247312,41.4
77,1991-06,1991,6,88.7,9,28.6,7.1,81.0,55.6,25.597638888888888,40.1
78,1991-07,1991,7,37.3,8,28.5,6.7,78.7,10.7,25.431854838709675,41.3
79,1991-08,1991,8,226.2,8,28.2,5.3,79.8,129.9,25.232258064516127,42.6
80,1991-09,1991,9,123.1,12,27.5,4.1,83.0,53.6,25.240416666666665,41.2
81,1991-10,1991,10,52.0,5,27.5,4.2,81.4,20.4,24.853494623655912,45.9
82,1991-11,1991,11,205.0,19,26.3,3.5,86.5,75.2,24.762777777777778,46.0
83,1991-12,1991,12,492.3,19,25.6,3.0,90.7,79.4,24.835887096774197,39.3
84,1992-01,1992,1,83.9,9,26.6,6.6,82.4,56.2,24.50228494623656,42.9
85,1992-02,1992,2,62.4,4,27.5,7.7,80.5,43.2,24.967959770114945,44.2
86,1992-03,1992,3,67.6,6,28.2,7.4,80.6,35.1,25.587903225806453,43.2
87,1992-04,1992,4,160.3,13,28.4,6.4,82.4,94.7,25.778055555555557,45.5
88,1992-05,1992,5,63.1,13,28.1,5.7,83.3,13.7,25.668817204301074,46.2
89,1992-06,1992,6,162.8,14,28.0,5.5,82.7,38.4,25.47888888888889,50.3
90,1992-07,1992,7,290.8,19,27.3,4.7,83.8,97.3,25.051747311827956,44.3
91,1992-08,1992,8,76.1,11,27.8,5.7,81.1,31.0,25.059811827956988,45.7
92,1992-09,1992,9,83.6,13,27.3,5.0,82.9,17.5,24.929305555555555,48.4
93,1992-10,1992,10,233.2,20,27.4,4.5,82.0,45.5,25.01532258064516,43.9
94,1992-11,1992,11,474.3,18,26.1,3.7,87.7,120.6,24.667499999999997,44.0
95,1992-12,1992,12,502.7,23,25.5,3.4,90.3,105.7,24.50551075268817,43.8
96,1993-01,1993,1,176.4,11,26.2,5.5,85.7,37.2,24.579973118279568,48.5
97,1993-02,1993,2,69.2,8,26.7,8.5,80.5,27.0,24.61294642857143,45.9
98,1993-03,1993,3,250.5,14,26.7,5.4,86.3,56.9,25.166397849462363,48.1
99,1993-04,1993,4,283.9,20,27.6,6.4,84.5,56.7,25.51763888888889,46.1
100,1993-05,1993,5,129.9,10,28.2,6.0,82.9,37.2,25.54462365591398,47.9
101,1993-06,1993,6,115.5,17,28.5,6.2,80.9,29.4,25.363055555555558,49.9
