month,level_1,value
2016-09,Total (Excluding Motor Vehicles),98.1
2016-10,Total,99.2
2016-10,Total (Excluding Motor Vehicles),98.9
2016-11,Total,98.3
2016-11,Total (Excluding Motor Vehicles),97.7
2016-12,Total,98.4
2016-12,Total (Excluding Motor Vehicles),99.6
2017-01,Total,98.4
2017-01,Total (Excluding Motor Vehicles),98.8
2017-02,Total,99.9
2017-02,Total (Excluding Motor Vehicles),99.1
2017-03,Total,100
2017-03,Total (Excluding Motor Vehicles),98.9
2017-04,Total,99
2017-04,Total (Excluding Motor Vehicles),99.9
2017-05,Total,99.4
2017-05,Total (Excluding Motor Vehicles),99.2
2017-06,Total,100
2017-06,Total (Excluding Motor Vehicles),100.7
2017-07,Total,100.9
2017-07,Total (Excluding Motor Vehicles),100.6
2017-08,Total,100.7
2017-08,Total (Excluding Motor Vehicles),100.2
2017-09,Total,97.1
2017-09,Total (Excluding Motor Vehicles),99.8
2017-10,Total,98.6
2017-10,Total (Excluding Motor Vehicles),99.7
2017-11,Total,101.6
2017-11,Total (Excluding Motor Vehicles),101
2017-12,Total,103.7
2017-12,Total (Excluding Motor Vehicles),101.4
2018-01,Total,98.7
2018-01,Total (Excluding Motor Vehicles),100.1
2018-02,Total,96.8
2018-02,Total (Excluding Motor Vehicles),100.7
2018-03,Total,98.9
2018-03,Total (Excluding Motor Vehicles),101.3
2018-04,Total,99.8
2018-04,Total (Excluding Motor Vehicles),101.2
2018-05,Total,99.2
2018-05,Total (Excluding Motor Vehicles),100.8
2018-06,Total,100.4
2018-06,Total (Excluding Motor Vehicles),99.1
2018-07,Total,97.8
2018-07,Total (Excluding Motor Vehicles),100.1
2018-08,Total,99
2018-08,Total (Excluding Motor Vehicles),101.1
2018-09,Total,99.1
2018-09,Total (Excluding Motor Vehicles),101.5
2018-10,Total,98.9
2018-10,Total (Excluding Motor Vehicles),100
2018-11,Total,100
2018-11,Total (Excluding Motor Vehicles),102.3
2018-12,Total,97.5
2018-12,Total (Excluding Motor Vehicles),98.6
2019-01,Total,97.6
2019-01,Total (Excluding Motor Vehicles),96.9
2019-02,Total,96.4
2019-02,Total (Excluding Motor Vehicles),98.9
2019-03,Total,98.1
2019-03,Total (Excluding Motor Vehicles),99.9
2019-04,Total,98.4
2019-04,Total (Excluding Motor Vehicles),99.7
2019-05,Total,95.6
2019-05,Total (Excluding Motor Vehicles),98.3
2019-06,Total,93
2019-06,Total (Excluding Motor Vehicles),98.1
2019-07,Total,96
2019-07,Total (Excluding Motor Vehicles),97.9
2019-08,Total,94.9
2019-08,Total (Excluding Motor Vehicles),100.1
2019-09,Total,96.6
2019-09,Total (Excluding Motor Vehicles),100.7
2019-10,Total,94.4
2019-10,Total (Excluding Motor Vehicles),99
2019-11,Total,94.3
2019-11,Total (Excluding Motor Vehicles),99.9
2019-12,Total,93
2019-12,Total (Excluding Motor Vehicles),98.1
